stock1,stock2,distance,correlation
AAPL,GOOGL,0.4995442744603111,0.8752277589269607
MSFT,GOOGL,0.47953811031262994,0.885021600378896
MSFT,TSLA,0.5544192162292942,0.8463096663378475
GOOGL,AMZN,0.38226671769351117,0.9269360782719147
GOOGL,GS,0.7496307057820832,0.7190269024743279
GOOGL,HD,0.7539603855687115,0.71577186849654
GOOGL,ABBV,0.7739917196503271,0.7004684089563648
JPM,C,0.4613213054097409,0.8935913265875263
JPM,GS,0.5284100059270088,0.8603914328181093
BAC,WFC,0.45213105423343797,0.89778875489888
WFC,C,0.418597908894301,0.9123878953346592
JNJ,PFE,0.5041970350410403,0.872892674927912
PFE,ABBV,0.6092946657529796,0.8143800051424824
UNH,MRK,0.5154554284830699,0.8671528506236674
UNH,ABBV,0.5343048305706237,0.8572591740144485
XOM,COP,0.4475716603568105,0.8998398044227239
XOM,CVX,0.5102509786142918,0.8698219694115787
CVX,SHEL,0.6310035285352134,0.8009172734880551
BP,COP,0.4433023823066249,0.9017414989206355
COP,NKE,0.858335670440319,0.631629938424884
WMT,SBUX,0.4761547045740146,0.8866383486560164
WMT,HD,0.5761306031815058,0.8340367640388572
HD,NKE,0.4345241672763906,0.9055943740263797
MCD,NKE,0.40398701546076854,0.9183972456695504
